map1.txt
1.57,0.78,1.57,0.78,1.57,
1.2755,1.1725,1.9625,1.29,2.355,
1.16718,2.09842,2.41586,1.10263,2.63696,
1.54999,1.77261,3.34677,1.09758,2.92289,
1.26049,1.91696,3.29508,1.52818,3.36967,
1.04337,2.02522,3.25631,1.85114,3.70475,
0.940505,1.73392,2.70378,2.71594,4.00672,
0.895885,1.3168,2.18068,2.41148,4.51645,
1.36161,1.35006,2.65745,2.44954,4.89978,
1.09448,1.173,3.17497,2.39269,4.99878,
0.996934,1.28672,3.19376,2.40176,4.97784,
1.02027,1.43634,3.3007,2.32902,4.92717,
0.78467,1.53869,3.33651,2.29974,4.94678,
0.755273,1.55636,3.3647,2.23383,4.80864,
0.64268,1.57266,3.26315,2.2378,4.77303,
0.58001,1.767,3.23236,2.38335,4.75727,
0.442054,1.82071,3.39633,2.57335,4.7034,
0.461995,1.97601,3.51062,2.63653,4.65884,
0.444497,2.06951,3.41797,2.6824,4.67163,
0.431372,2.13963,3.34847,2.7168,4.68122,
0.421529,2.19222,3.29636,2.7426,4.68842,
0.414147,2.23167,3.25727,2.76195,4.69381,
0.40861,2.26125,3.22795,2.77646,4.69786,
0.404458,2.28344,3.20596,2.78735,4.70089,
0.401343,2.30008,3.18947,2.79551,4.70317,
0.399007,2.31256,3.1771,2.80163,4.70488,
0.397256,2.32192,3.16783,2.80622,4.70616,
0.395942,2.32894,3.16087,2.80967,4.70712,
0.394956,2.3342,3.15565,2.81225,4.70784,
0.394217,2.33815,3.15174,2.81419,4.70838,
0.393663,2.34111,3.1488,2.81564,4.70878,
0.393247,2.34334,3.1466,2.81673,4.70909,
0.392935,2.345,3.14495,2.81755,4.70932,
0.392702,2.34625,3.14371,2.81816,4.70949,
0.392526,2.34719,3.14279,2.81862,4.70962,
0.392395,2.34789,3.14209,2.81897,4.70971,
0.392296,2.34842,3.14157,2.81922,4.70978,
0.392222,2.34881,3.14118,2.81942,4.70984,
0.392166,2.34911,3.14088,2.81956,4.70988,
0.392,2.35,3.14,2.82,4.71,
