planner,mapName,problemIndex,numSteps,cost,timespent,success
0,./map2.txt,0,51,4.753083,0.004444757,TRUE
0,./map2.txt,1,50,6.260966,0.005278143,TRUE
0,./map2.txt,2,69,16.345119,0.09398666,TRUE
0,./map2.txt,3,44,1.536417,0.005380356,TRUE
0,./map2.txt,4,52,7.322662,0.005956526,TRUE
0,./map2.txt,5,48,4.12343,0.005127408,TRUE
0,./map2.txt,6,65,17.621237,0.013026808,TRUE
0,./map2.txt,7,95,32.309726,0.151771652,TRUE
0,./map2.txt,8,73,16.795669,0.342939554,TRUE
0,./map2.txt,9,65,14.019261,0.022267906,TRUE
0,./map2.txt,10,62,14.247077,0.029351523,TRUE
0,./map2.txt,11,64,12.314863,0.05723956,TRUE
0,./map2.txt,12,55,7.64742,0.023508532,TRUE
0,./map2.txt,13,56,6.821041,1.153230709,TRUE
0,./map2.txt,14,51,6.022501,0.576858244,TRUE
0,./map2.txt,15,69,15.557522,0.027571548,TRUE
0,./map2.txt,16,68,12.340051,1.267477689,TRUE
0,./map2.txt,17,46,2.948029,0.00674686,TRUE
0,./map2.txt,18,48,4.522867,0.005792707,TRUE
0,./map2.txt,19,78,23.76641,0.055592935,TRUE
1,./map2.txt,0,3,4.571683,0.003996138,TRUE
1,./map2.txt,1,8,5.909926,0.003655935,TRUE
1,./map2.txt,2,77,24.016965,0.155517506,TRUE
1,./map2.txt,3,3,2.291003,0.004561588,TRUE
1,./map2.txt,4,8,6.205264,0.003592635,TRUE
1,./map2.txt,5,18,4.58111,0.019407145,TRUE
1,./map2.txt,6,70,15.793655,0.197365835,TRUE
1,./map2.txt,7,120,29.598892,0.223469497,TRUE
1,./map2.txt,8,110,27.375831,0.138173752,TRUE
1,./map2.txt,9,37,11.800429,0.019273944,TRUE
1,./map2.txt,10,33,13.464587,0.020989188,TRUE
1,./map2.txt,11,15,8.371179,0.017340997,TRUE
1,./map2.txt,12,14,6.55212,0.009170986,TRUE
1,./map2.txt,13,14,6.900501,0.004463322,TRUE
1,./map2.txt,14,3,4.944349,0.00311464,TRUE
1,./map2.txt,15,107,24.232982,0.166594557,TRUE
1,./map2.txt,16,8,8.674599,0.00338911,TRUE
1,./map2.txt,17,3,2.758759,0.00240015,TRUE
1,./map2.txt,18,3,5.083833,0.00253806,TRUE
1,./map2.txt,19,95,22.13185,0.120196442,TRUE
2,./map2.txt,0,29,4.503023,0.005338296,TRUE
2,./map2.txt,1,28,5.758754,0.004938842,TRUE
2,./map2.txt,2,50,24.043943,0.048544644,TRUE
2,./map2.txt,3,26,1.536417,0.004427764,TRUE
2,./map2.txt,4,31,8.869042,0.00415046,TRUE
2,./map2.txt,5,31,5.66987,0.011932127,TRUE
2,./map2.txt,6,32,9.339933,0.005677107,TRUE
2,./map2.txt,7,47,26.997586,0.03764497,TRUE
2,./map2.txt,8,51,23.263881,0.047448902,TRUE
2,./map2.txt,9,37,13.418513,0.009944267,TRUE
2,./map2.txt,10,35,13.973851,0.015213584,TRUE
2,./map2.txt,11,30,7.217273,0.004517855,TRUE
2,./map2.txt,12,32,6.33744,0.005833855,TRUE
2,./map2.txt,13,35,10.664921,0.022345784,TRUE
2,./map2.txt,14,30,4.572549,0.004015255,TRUE
2,./map2.txt,15,41,14.662272,0.040968135,TRUE
2,./map2.txt,16,33,9.756079,0.006468174,TRUE
2,./map2.txt,17,27,2.553469,0.005336362,TRUE
2,./map2.txt,18,30,5.143187,0.00413994,TRUE
2,./map2.txt,19,41,12.41694,0.047759479,TRUE
3,./map2.txt,0,21,9.339513,0.159906858,TRUE
3,./map2.txt,1,2,5.066146,0.108542281,TRUE
3,./map2.txt,2,2,4.509762307,0.115491724,TRUE
3,./map2.txt,3,2,1.536417,0.123873967,TRUE
3,./map2.txt,4,15,14.626106,0.122293228,TRUE
3,./map2.txt,5,2,3.51693,0.120443199,TRUE
3,./map2.txt,6,2,6.532417614,0.109839965,TRUE
3,./map2.txt,7,2,8.418027307,0.112231959,TRUE
3,./map2.txt,8,2,5.954980307,0.109366649,TRUE
3,./map2.txt,9,2,3.824494307,0.118761739,TRUE
3,./map2.txt,10,22,22.3070916,0.109778298,TRUE
3,./map2.txt,11,17,17.5001078,0.112511678,TRUE
3,./map2.txt,12,2,4.45684,0.102348667,TRUE
3,./map2.txt,13,24,29.249631,0.116252513,TRUE
3,./map2.txt,14,18,17.5005756,0.117165169,TRUE
3,./map2.txt,15,2,9.134573307,0.109908343,TRUE
3,./map2.txt,16,2,8.278499,0.128501399,TRUE
3,./map2.txt,17,12,11.263871,0.11948121,TRUE
3,./map2.txt,18,10,10.3606178,0.113055397,TRUE
3,./map2.txt,19,2,4.187289307,0.114084111,TRUE
