planner,mapName,problemIndex,numSteps,cost,timespent,success
0,./map1.txt,0,49,22.376271,23.667875367002125,True
0,./map1.txt,0,-1,-1.0,23.667875367002125,False
0,./map2.txt,1,31,5.283062999999999,0.003264341998146847,True
0,./map2.txt,1,-1,-1.0,0.003264341998146847,False
1,./map1.txt,0,363,28.439989000000004,1.4421927779985708,False
1,./map1.txt,0,-1,-1.0,1.4421927779985708,False
1,./map2.txt,1,3,4.325643,0.0030886889981047716,True
1,./map2.txt,1,-1,-1.0,0.0030886889981047716,False
2,./map1.txt,0,112,17.265251,28.51139271500142,True
2,./map1.txt,0,-1,-1.0,28.51139271500142,False
2,./map2.txt,1,74,4.674543,0.004424548002134543,True
2,./map2.txt,1,-1,-1.0,0.004424548002134543,False
3,./map1.txt,0,76,89.5659252,29.019082896000327,True
3,./map1.txt,0,-1,-1.0,29.019082896000327,False
3,./map2.txt,1,-1,-1.0,29.019082896000327,False
