planner,mapName,problemIndex,numSteps,cost,timespent,success
0,./map2.txt,0,52,4.698792999999998,0.007241355997393839,True
0,./map2.txt,1,53,8.663485999999999,0.013601976010249928,True
0,./map2.txt,2,67,18.972125000000002,0.04830403199594002,True
0,./map2.txt,3,44,1.5364170000000001,0.00591017899569124,True
0,./map2.txt,4,55,8.863806000000002,0.006169589003548026,True
0,./map2.txt,5,50,5.410069999999999,0.02640988198982086,True
0,./map2.txt,6,63,13.854657,0.015744438002002425,True
0,./map2.txt,7,97,31.253848,0.1530554680066416,True
0,./map2.txt,8,75,16.551809000000002,0.16792857000837103,True
0,./map2.txt,9,61,12.473145,0.021391160000348464,True
0,./map2.txt,10,58,12.006904999999996,0.7617369569925359,True
0,./map2.txt,11,48,6.5656989999999995,0.005763712004409172,True
0,./map2.txt,12,53,6.231000000000002,0.013859383994713426,True
0,./map2.txt,13,60,10.759781,0.05649450299097225,True
0,./map2.txt,14,53,7.6322090000000005,0.007055194000713527,True
0,./map2.txt,15,70,15.335882000000002,0.050503282007412054,True
0,./map2.txt,16,63,13.561135,0.21384110899816733,True
0,./map2.txt,17,42,2.8742050000000003,0.005416785003035329,True
0,./map2.txt,18,50,5.847187000000001,0.004959240002790466,True
0,./map2.txt,19,69,13.108249999999998,0.15545613900758326,True
1,./map2.txt,0,3,4.3196829999999995,0.0038538090011570603,True
1,./map2.txt,1,23,7.243405999999999,0.008168008993379772,True
1,./map2.txt,2,52,17.257922999999998,0.06476074800593778,True
1,./map2.txt,3,3,2.5080650000000007,0.0032296190038323402,True
1,./map2.txt,4,12,6.3917860000000015,0.005115145002491772,True
1,./map2.txt,5,12,5.20747,0.009325067003373988,True
1,./map2.txt,6,77,19.037629000000003,0.14694874800625257,True
1,./map2.txt,7,118,29.925490000000003,0.10228185600135475,True
1,./map2.txt,8,74,20.448525,0.08262235199799761,True
1,./map2.txt,9,30,10.831389000000001,0.016062921000411734,True
1,./map2.txt,10,49,14.902528999999996,0.009290392001275904,True
1,./map2.txt,11,32,12.712350999999998,0.017141370990430005,True
1,./map2.txt,12,18,6.995860000000002,0.008549860998755321,True
1,./map2.txt,13,17,7.487561,0.008166126004653051,True
1,./map2.txt,14,3,4.632429000000001,0.003369472993654199,True
1,./map2.txt,15,55,15.046373999999998,0.03362048999406397,True
1,./map2.txt,16,7,9.510607,0.003768647991819307,True
1,./map2.txt,17,3,2.978037,0.002575951992184855,True
1,./map2.txt,18,3,5.103447000000001,0.002997739997226745,True
1,./map2.txt,19,112,24.42046000000001,0.29228284300188534,True
2,./map2.txt,0,28,4.3196829999999995,0.005257023003650829,True
2,./map2.txt,1,28,5.548945999999999,0.004970630994648673,True
2,./map2.txt,2,46,19.046795,0.05344956400222145,True
2,./map2.txt,3,26,1.5364170000000001,0.004416263007442467,True
2,./map2.txt,4,30,9.137162,0.005714216997148469,True
2,./map2.txt,5,31,5.9383099999999995,0.011061150988098234,True
2,./map2.txt,6,35,11.834493,0.008013156009837985,True
2,./map2.txt,7,50,23.922346,0.04870802699588239,True
2,./map2.txt,8,39,16.795793,0.02203108899993822,True
2,./map2.txt,9,36,12.334929,0.00642772699939087,True
2,./map2.txt,10,34,12.043471,0.00962670799344778,True
2,./map2.txt,11,31,8.009999,0.006477160000940785,True
2,./map2.txt,12,34,9.686922000000003,0.008990424001240171,True
2,./map2.txt,13,28,4.8677410000000005,0.005397910004830919,True
2,./map2.txt,14,30,5.996809000000001,0.005717123000067659,True
2,./map2.txt,15,48,18.015293999999997,0.045666923993849196,True
2,./map2.txt,16,32,9.098891,0.006887827999889851,True
2,./map2.txt,17,28,2.604809,0.004491745989071205,True
2,./map2.txt,18,30,8.118106999999998,0.005180498992558569,True
2,./map2.txt,19,37,10.838606,0.04580841300776228,True
3,./map2.txt,0,34,14.593069920000001,0.6751349380065221,True
3,./map2.txt,1,2,5.066146,0.34623704200203065,True
3,./map2.txt,2,2,4.509762307179585,0.335085259997868,True
3,./map2.txt,3,11,8.863845,0.37035987799754366,True
3,./map2.txt,4,35,36.7225,0.35395677300402895,True
3,./map2.txt,5,9,9.413671999999998,0.3628488709946396,True
3,./map2.txt,6,2,6.532417614359172,0.3502010989905102,True
3,./map2.txt,7,2,8.418027307179585,0.3917835489992285,True
3,./map2.txt,8,2,5.954980307179586,0.3579923859942937,True
3,./map2.txt,9,2,3.8244943071795867,0.35280293998948764,True
3,./map2.txt,10,32,34.66564440000001,0.36701268699835055,True
3,./map2.txt,11,38,41.396710999999996,0.3629921420069877,True
3,./map2.txt,12,56,57.04199799999999,0.3685582399921259,True
3,./map2.txt,13,2,3.863889000000001,0.3445712409884436,True
3,./map2.txt,14,16,17.601809,0.3357020050025312,True
3,./map2.txt,15,2,9.134573307179586,0.339602954001748,True
3,./map2.txt,16,21,21.912281,0.3524342440068722,True
3,./map2.txt,17,6,5.011052999999999,0.36349311999219935,True
3,./map2.txt,18,22,24.980029,0.34201777099224273,True
3,./map2.txt,19,2,4.1872893071795865,0.3901842039922485,True
