planner,mapName,problemIndex,numSteps,cost,timespent,success
0,./map2.txt,0,49,4.691463,0.007019030000009252,True
0,./map2.txt,1,50,5.785566,0.006731825999992225,True
0,./map2.txt,2,69,17.441221,0.10962569099999087,True
0,./map2.txt,3,44,1.5364170000000001,0.007181088999999474,True
0,./map2.txt,4,54,10.140062,0.006793843999986393,True
0,./map2.txt,5,48,4.098769999999999,0.009433704000002763,True
0,./map2.txt,6,59,10.445829,0.02662482999997451,True
0,./map2.txt,7,118,35.759232000000004,2.063941375000013,True
0,./map2.txt,8,84,22.795801,0.0726801469999998,True
0,./map2.txt,9,63,13.884509,0.022480706000010287,True
0,./map2.txt,10,93,25.027508999999995,4.886302209000007,True
0,./map2.txt,11,59,12.835914999999998,0.005803797999988092,True
0,./map2.txt,12,59,8.36482,0.06404396600001405,True
0,./map2.txt,13,52,6.670661000000001,0.005444595000000163,True
0,./map2.txt,14,52,5.225509,0.004049579000025005,True
0,./map2.txt,15,73,16.607612000000003,0.03472565199999167,True
0,./map2.txt,16,56,11.366923,0.006458599999973558,True
0,./map2.txt,17,46,2.553469,0.0057444999999916035,True
0,./map2.txt,18,48,4.522867,0.005276605999995354,True
0,./map2.txt,19,76,23.047918,0.10298919199999546,True
1,./map2.txt,0,3,4.4716629999999995,0.0023005649999845446,True
1,./map2.txt,1,12,6.190245999999999,0.006828318000003719,True
1,./map2.txt,2,112,24.870104999999995,0.2978586920000055,True
1,./map2.txt,3,3,2.420485000000001,0.003289523999995936,True
1,./map2.txt,4,9,6.301401999999999,0.0023465120000025763,True
1,./map2.txt,5,17,5.300230000000001,0.008402140000015379,True
1,./map2.txt,6,60,14.378046999999999,0.14959905200001344,True
1,./map2.txt,7,144,34.131561999999995,0.16476728300000332,True
1,./map2.txt,8,62,15.765825,0.17685237100002382,True
1,./map2.txt,9,56,13.917217,0.054953071999989334,True
1,./map2.txt,10,35,12.674347000000003,0.017824503000014147,True
1,./map2.txt,11,38,12.516964999999999,0.03272356299999046,True
1,./map2.txt,12,25,8.5359,0.014979100999994444,True
1,./map2.txt,13,11,5.916073,0.0033095880000075795,True
1,./map2.txt,14,3,5.076369,0.0036598499999911382,True
1,./map2.txt,15,63,17.077674000000002,0.029649708999983204,True
1,./map2.txt,16,5,8.592019,0.0038538659999858282,True
1,./map2.txt,17,3,3.279729,0.0022823589999916294,True
1,./map2.txt,18,3,5.1394269999999995,0.004141358999987688,True
1,./map2.txt,19,74,20.851626000000003,0.11498457400000461,True
2,./map2.txt,0,29,4.568143000000001,0.005564937000002601,True
2,./map2.txt,1,29,5.4827259999999995,0.005302021000005652,True
2,./map2.txt,2,40,16.499477,0.028007569000010335,True
2,./map2.txt,3,26,1.5364170000000001,0.0026738480000005893,True
2,./map2.txt,4,31,4.9299,0.004867700999994895,True
2,./map2.txt,5,28,3.6713099999999996,0.00970834000000309,True
2,./map2.txt,6,41,17.435713000000003,0.00850712199999748,True
2,./map2.txt,7,54,30.560014,0.09149238000000537,True
2,./map2.txt,8,34,11.447403,0.014379529999985152,True
2,./map2.txt,9,35,11.381169,0.013457397999985687,True
2,./map2.txt,10,41,17.314541000000002,0.26555123800000047,True
2,./map2.txt,11,30,8.538783000000002,0.004739348000015298,True
2,./map2.txt,12,48,18.987022000000003,0.02231517999999255,True
2,./map2.txt,13,46,15.425653,0.1541912079999861,True
2,./map2.txt,14,30,4.572549,0.00510177799998246,True
2,./map2.txt,15,44,16.703196,0.021555199999994556,True
2,./map2.txt,16,36,12.412761000000001,0.09762289899998677,True
2,./map2.txt,17,27,3.0508150000000005,0.005773266000005606,True
2,./map2.txt,18,30,5.6768670000000006,0.0056809010000051785,True
2,./map2.txt,19,37,13.127081999999998,0.034347140999983594,True
3,./map2.txt,0,16,7.241395000000001,0.15276734900001543,True
3,./map2.txt,1,2,5.066146,0.10542580500001009,True
3,./map2.txt,2,2,4.509762307179585,0.10986763700000779,True
3,./map2.txt,3,19,19.7028052,0.11271716600001014,True
3,./map2.txt,4,46,51.2931072,0.11238317699999811,True
3,./map2.txt,5,2,3.5169299999999994,0.11222881199998369,True
3,./map2.txt,6,2,6.532417614359172,0.1244080790000055,True
3,./map2.txt,7,2,8.418027307179585,0.11448930599999585,True
3,./map2.txt,8,2,5.954980307179586,0.11854290299999093,True
3,./map2.txt,9,2,3.8244943071795867,0.10218504499999881,True
3,./map2.txt,10,21,25.963971000000004,0.10523914600000239,True
3,./map2.txt,11,2,5.538539,0.12119620900000427,True
3,./map2.txt,12,32,36.481519999999996,0.11388405499999976,True
3,./map2.txt,13,9,8.846903000000001,0.11746946299999195,True
3,./map2.txt,14,11,10.828851,0.11418842000000495,True
3,./map2.txt,15,2,9.134573307179586,0.1178357290000065,True
3,./map2.txt,16,37,44.5473214,0.11251575600002184,True
3,./map2.txt,17,13,15.794271000000002,0.10715926400001763,True
3,./map2.txt,18,12,11.8962042,0.11523167700002546,True
3,./map2.txt,19,2,4.1872893071795865,0.1175990229999968,True
